,beach_id,beach_slope_average,width_ci_average,quality_flag,mstr,hsig_median,prc_mstr_obs,min_tide_obs,max_tide_obs,sl_points_average,beach_length,coastal_region,primary_comp_id,secondary_comp_id,d50,distance_to_sample,latitude,longitude,Hs_mean,Hs_max,Tp_mean,Wdir_mean,Wdir_weighted_mean,geometry
0,aus4325,0.06677097262733936,0.02625,Medium,1.209843635559082,0.1720000058412552,92.3,-0.5458525054502019,0.5708302200744293,275.0,427.629418167569,East Tasmania,TAS01.04,TAS01.04.05,0.15932,0.0,-43.063429770468034,147.26302815440087,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.26257660249243 -43.06154238791794, 147.26257660249243 -43.06260179419413, 147.2627829845417 -43.063257273128144, 147.2634481121827 -43.06438383675806, 147.2639015110891 -43.065199449656276)"
1,aus4315,0.05001315638180636,0.0278,Medium,1.2144465446472168,0.23000000417232513,88.93,-0.5742969125180801,0.5057704490536333,263.0,613.2733473484936,East Tasmania,TAS01.04,TAS01.04.05,0.25882,5.499815736490082,-42.9910571504023,147.40367527552652,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.4016695490688 -42.99307190002231, 147.40223843637585 -42.992840382658365, 147.40289287064635 -42.992452432688026, 147.40344037121255 -42.991980006433465, 147.4040948054831 -42.99103827174065, 147.40439849720337 -42.99031240658204, 147.40460380991573 -42.98922046396769, 147.40459097787124 -42.988663534476586, 147.40451826295228 -42.988350650526165)"
2,aus4319,0.05230772698201938,0.0261,Medium,1.2144465446472168,0.10600000619888306,98.22,-0.5742969125180801,0.6185850379555302,280.0,1352.546721418925,East Tasmania,TAS01.04,TAS01.04.05,0.1426,2.3337992698962204,-42.90978427013251,147.3542931280985,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.34796744275187 -42.908624480082, 147.34912232675867 -42.90871220129551, 147.35147486825397 -42.908624480082, 147.35386162853482 -42.90836131569236, 147.35479409043654 -42.90837384735547, 147.35563245067857 -42.908555556183764, 147.3567445612036 -42.909157071242134, 147.35745460100043 -42.90965206360603, 147.35743749160773 -42.91014705199482, 147.35702686618308 -42.91091145663373, 147.35671889711455 -42.91156307277498, 147.3567274518109 -42.9122021511449, 147.3569584286123 -42.912979061022604, 147.3573861634296 -42.91360559411279, 147.35805770709285 -42.91391885826933)"
3,aus4255,0.07630328704070842,0.0316,Medium,1.2494100332260132,0.5139999985694885,95.61,-0.529995263860421,0.6645078026202894,639.0,737.3729002189066,East Tasmania,TAS01.03,TAS01.03.01,0.21464,151.77839872676282,-42.30204792154643,148.0011191983655,1.948140604799984,6.0094645158041455,9.691716508587893,168.2328425415663,187.6737791299217,"LINESTRING (148.00235847634 -42.298944665739285, 148.0016912100249 -42.301039008740574, 148.00080152160484 -42.301905831231494, 148.00017702877153 -42.3052591197258)"
4,aus4367,0.05234566159261239,0.04105,Medium,1.108277440071106,0.9040000438690186,82.91,-0.5448596844565842,0.37398111526306516,232.0,817.6704095362077,East Tasmania,TAS01.04,TAS01.04.06,0.31208,3.1630591530054426,-43.43981793362261,146.96192097237488,2.6924312055309643,7.206909962271892,12.55261524328815,240.85355603575493,243.3970472003972,"LINESTRING (146.9635032942799 -43.43644408080767, 146.96240548272556 -43.4379848846271, 146.96138871766195 -43.44044045962036, 146.96119715322962 -43.4422539902411, 146.9614329248386 -43.44346298045434)"
5,aus4442,0.03293587403330264,0.0193,High,1.0863362550735474,2.6580002307891846,71.32,-0.5064153677766697,0.268401265740169,283.0,1212.864847739776,West Tasmania,TAS02.03,TAS02.03.03,0.3276,22.54373724870838,-41.93353152381431,145.17760595133714,3.1010310137884414,8.169502825993343,12.811834069417607,244.7785224302984,246.74810444799002,"LINESTRING (145.18126164680402 -41.937773935563825, 145.1811418810552 -41.93730939170344, 145.1810563340917 -41.93722666435962, 145.18073981032688 -41.93666666105657, 145.18080824789763 -41.93622756411815, 145.18027785672416 -41.935718462433975, 145.18008965340448 -41.93526663128542, 145.17916574619906 -41.93484025247728, 145.17906308984288 -41.93405112596954, 145.17874656607808 -41.9336056470165, 145.17718105664665 -41.93272740796722, 145.1754273438956 -41.93191279861878, 145.17418691292528 -41.93165186686198, 145.1737933968933 -41.93148639738996, 145.17416124883624 -41.93091361513371, 145.17437511624485 -41.929850772209754)"
6,aus4323,0.08804006704026851,0.0489,Medium,1.2144465446472168,0.1720000058412552,94.61,-0.5742969125180801,0.5746420832556829,288.0,835.0156482670212,East Tasmania,TAS01.04,TAS01.04.05,0.22846,36.68672237489338,-43.00403688752764,147.32522335813218,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.32695710852423 -43.00060981657346, 147.32485265322285 -43.003662886724825, 147.32440780901283 -43.00537704403095, 147.32440780901283 -43.00625287236672, 147.32466444990325 -43.00702859560759, 147.32526327864755 -43.00751967340204)"
7,aus4227,0.058916237953755946,0.0233,High,1.3417489528656006,0.9320000410079956,96.13,-0.5537309060915326,0.736075287127372,658.0,1060.470439704821,East Tasmania,TAS01.02,TAS01.02.04,0.27548,31.742029353764433,-41.86306503417177,148.28695763518988,1.642460213557471,5.839123015042989,9.500383524523313,147.62020598725996,146.57131054888924,"LINESTRING (148.28449519126698 -41.859670746870634, 148.2867497572777 -41.86032923716969, 148.28704447178893 -41.86060360612633, 148.2866171357477 -41.86110844193072, 148.28618979970645 -41.86234856513805, 148.28651398566873 -41.863841070910915, 148.28739812920242 -41.86534451576716, 148.28841489426608 -41.866134633198385, 148.29000635262668 -41.86649676709102)"
8,aus4302,0.03697217430114377,0.011,High,1.254553198814392,0.13199999928474426,99.96,-0.6012372807433238,0.6528333134098172,477.0,1594.347817625148,East Tasmania,TAS01.04,TAS01.04.02,0.1387,25.662256184041773,-42.889017059680704,147.66290784280542,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.67034696844158 -42.89377382278111, 147.6677206766631 -42.891398464716275, 147.6638625086107 -42.88901047956838, 147.65972203557888 -42.88699221530897, 147.6580367603986 -42.886371679794976, 147.65631726643284 -42.8862588544854, 147.6546405459489 -42.88644062849366)"
9,aus4326,0.056673615888368147,0.022,High,1.209843635559082,0.1720000058412552,92.3,-0.5458525054502019,0.5708302200744293,267.0,409.2687893754267,East Tasmania,TAS01.04,TAS01.04.05,0.18557,0.0,-43.07788722212974,147.2819146326043,0.7527638545636366,2.3345832926784293,9.243877495622923,180.81391621443575,194.9813904432266,"LINESTRING (147.28032011205255 -43.07642786731046, 147.28078206565527 -43.07705273620573, 147.28159476180824 -43.07778382472422, 147.28255288779906 -43.078439922378394, 147.28310894306165 -43.07872735342338, 147.28376765468033 -43.07901478312009)"
